rank_no,rank,oos_rmse_err,oos_wlp_err,coef_mae,fold_mae,gate_abs,target,scale,train_mode,margin,margin_rev,ht_sign,htsurp,spread,td_rev,tm_rev,2017_rmse,2017_bets,2018_rmse,2018_bets
11,3407.960877501351,0.020006812922948924,440,0.08085497001945696,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
12,3407.960877501351,0.020006812922948924,440,0.08085497001945725,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
13,3414.7767671079237,0.01956596825890422,422,0.13211350328054527,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
14,3414.7767671079237,0.01956596825890422,422,0.13211350328054558,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
15,3414.7767671079237,0.01956596825890422,422,0.13211350328054527,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
16,3414.7767671079237,0.01956596825890422,422,0.13211350328054558,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
17,3424.116541043095,0.020006812922948924,440,0.09701063356120085,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
18,3424.116541043095,0.020006812922948924,440,0.09701063356120085,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
19,3424.1165410430954,0.020006812922948924,440,0.09701063356120115,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
20,3424.1165410430954,0.020006812922948924,440,0.09701063356120115,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,1,line,line,False,True,9.858742622558513,467,10.168811031590362,380
21,3430.9324306496674,0.01956596825890422,422,0.14826916682228916,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
22,3430.9324306496674,0.01956596825890422,422,0.14826916682228916,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
23,3430.932430649668,0.01956596825890422,422,0.14826916682228947,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
24,3430.932430649668,0.01956596825890422,422,0.14826916682228947,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,1,expected,line,True,True,9.858626445567046,468,10.168486363917784,370
25,3435.7985100541423,0.01956596825890422,422,0.15313524622676405,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
26,3435.7985100541423,0.01956596825890422,422,0.15313524622676405,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
27,3435.7985100541428,0.01956596825890422,422,0.1531352462267644,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
28,3435.7985100541428,0.01956596825890422,422,0.1531352462267644,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,1,expected,expected,False,False,9.858626445567046,468,10.168486363917784,370
29,3449.3714251718593,0.020006812922948924,440,0.1222655176899653,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,1,line,line,True,False,9.858742622558513,467,10.168811031590362,380
30,3449.3714251718593,0.020006812922948924,440,0.1222655176899653,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,1,line,line,True,False,9.858742622558513,467,10.168811031590362,380
31,3449.3714251718598,0.020006812922948924,440,0.12226551768996557,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,1,line,line,True,False,9.858742622558513,467,10.168811031590362,380
32,3449.3714251718598,0.020006812922948924,440,0.12226551768996557,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,1,line,line,True,False,9.858742622558513,467,10.168811031590362,380
33,3451.954173595886,0.01956596825890422,422,0.16929090976850794,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,1,expected,expected,False,True,9.858626445567046,468,10.168486363917784,370
34,3451.954173595886,0.01956596825890422,422,0.16929090976850794,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,1,expected,expected,False,True,9.858626445567046,468,10.168486363917784,370
35,3451.9541735958865,0.01956596825890422,422,0.16929090976850825,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,1,expected,expected,False,True,9.858626445567046,468,10.168486363917784,370
36,3451.9541735958865,0.01956596825890422,422,0.16929090976850825,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,1,expected,expected,False,True,9.858626445567046,468,10.168486363917784,370
37,3462.2011595678605,0.020006812922948924,440,0.13509525208596637,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,1,line,expected,False,False,9.858742622558513,467,10.168811031590362,380
38,3462.2011595678605,0.020006812922948924,440,0.1350952520859666,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,1,line,expected,False,False,9.858742622558513,467,10.168811031590362,380
39,3462.2011595678605,0.020006812922948924,440,0.13509525208596637,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,1,line,expected,False,False,9.858742622558513,467,10.168811031590362,380
40,3462.2011595678605,0.020006812922948924,440,0.1350952520859666,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,1,line,expected,False,False,9.858742622558513,467,10.168811031590362,380
41,3465.5270887136035,0.020006812922948924,440,0.13842118123170918,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,1,line,line,True,True,9.858742622558513,467,10.168811031590362,380
42,3465.5270887136035,0.020006812922948924,440,0.13842118123170946,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,1,line,line,True,True,9.858742622558513,467,10.168811031590362,380
43,3465.5270887136035,0.020006812922948924,440,0.13842118123170918,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,1,line,line,True,True,9.858742622558513,467,10.168811031590362,380
44,3465.5270887136035,0.020006812922948924,440,0.13842118123170946,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,1,line,line,True,True,9.858742622558513,467,10.168811031590362,380
45,3477.2090577246504,0.01956596825890422,422,0.1945457938972724,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,1,expected,expected,True,False,9.858626445567046,468,10.168486363917784,370
46,3477.2090577246504,0.01956596825890422,422,0.1945457938972724,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,1,expected,expected,True,False,9.858626445567046,468,10.168486363917784,370
47,3477.209057724651,0.01956596825890422,422,0.1945457938972727,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,1,expected,expected,True,False,9.858626445567046,468,10.168486363917784,370
48,3477.209057724651,0.01956596825890422,422,0.1945457938972727,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,1,expected,expected,True,False,9.858626445567046,468,10.168486363917784,370
49,3478.356823109604,0.020006812922948924,440,0.15125091562771026,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,1,line,expected,False,True,9.858742622558513,467,10.168811031590362,380
50,3478.356823109604,0.020006812922948924,440,0.15125091562771026,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,1,line,expected,False,True,9.858742622558513,467,10.168811031590362,380
51,3478.3568231096046,0.020006812922948924,440,0.15125091562771048,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,1,line,expected,False,True,9.858742622558513,467,10.168811031590362,380
52,3478.3568231096046,0.020006812922948924,440,0.15125091562771048,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,1,line,expected,False,True,9.858742622558513,467,10.168811031590362,380
53,3493.3647212663946,0.01956596825890422,422,0.21070145743901628,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,1,expected,expected,True,True,9.858626445567046,468,10.168486363917784,370
54,3493.3647212663946,0.01956596825890422,422,0.21070145743901658,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,1,expected,expected,True,True,9.858626445567046,468,10.168486363917784,370
55,3493.3647212663946,0.01956596825890422,422,0.21070145743901628,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,1,expected,expected,True,True,9.858626445567046,468,10.168486363917784,370
56,3493.3647212663946,0.01956596825890422,422,0.21070145743901658,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,1,expected,expected,True,True,9.858626445567046,468,10.168486363917784,370
57,3503.6117072383686,0.020006812922948924,440,0.1765057997564747,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,1,line,expected,True,False,9.858742622558513,467,10.168811031590362,380
58,3503.6117072383686,0.020006812922948924,440,0.1765057997564747,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,1,line,expected,True,False,9.858742622558513,467,10.168811031590362,380
59,3503.611707238369,0.020006812922948924,440,0.1765057997564749,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,1,line,expected,True,False,9.858742622558513,467,10.168811031590362,380
60,3503.611707238369,0.020006812922948924,440,0.1765057997564749,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,1,line,expected,True,False,9.858742622558513,467,10.168811031590362,380
61,3519.7673707801127,0.020006812922948924,440,0.1926614632982186,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,1,line,expected,True,True,9.858742622558513,467,10.168811031590362,380
62,3519.7673707801127,0.020006812922948924,440,0.19266146329821882,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,1,line,expected,True,True,9.858742622558513,467,10.168811031590362,380
63,3519.7673707801127,0.020006812922948924,440,0.1926614632982186,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,1,line,expected,True,True,9.858742622558513,467,10.168811031590362,380
64,3519.7673707801127,0.020006812922948924,440,0.19266146329821882,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,1,line,expected,True,True,9.858742622558513,467,10.168811031590362,380
65,3524.252570234079,0.01956596825890422,422,0.24158930640670076,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,-1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
66,3524.252570234079,0.01956596825890422,422,0.24158930640670107,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,-1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
67,3524.252570234079,0.01956596825890422,422,0.24158930640670076,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,-1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
68,3524.252570234079,0.01956596825890422,422,0.24158930640670107,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,-1,expected,line,False,False,9.858626445567046,468,10.168486363917784,370
69,3540.4082337758227,0.01956596825890422,422,0.25774496994844465,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,-1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
70,3540.4082337758227,0.01956596825890422,422,0.25774496994844465,0.09610877972985872,1504,resid_withot,xscale,expanding,line,True,-1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
71,3540.408233775823,0.01956596825890422,422,0.2577449699484449,0.09610877972985872,1504,resid_withot,xyscale,expanding,expected,False,-1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
72,3540.408233775823,0.01956596825890422,422,0.2577449699484449,0.09610877972985872,1504,resid_withot,xyscale,expanding,line,True,-1,expected,line,False,True,9.858626445567046,468,10.168486363917784,370
73,3558.8472282980147,0.020006812922948924,440,0.23174132081612078,0.09523392980458312,1254,resid_withot,xscale,expanding,expected,False,-1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
74,3558.8472282980147,0.020006812922948924,440,0.23174132081612078,0.09523392980458312,1254,resid_withot,xscale,expanding,line,True,-1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
75,3558.847228298015,0.020006812922948924,440,0.2317413208161211,0.09523392980458312,1254,resid_withot,xyscale,expanding,expected,False,-1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
76,3558.847228298015,0.020006812922948924,440,0.2317413208161211,0.09523392980458312,1254,resid_withot,xyscale,expanding,line,True,-1,line,line,False,False,9.858742622558513,467,10.168811031590362,380
77,3565.663117904587,0.01956596825890422,422,0.28299985407720907,0.09610877972985872,1504,resid_withot,xscale,expanding,expected,False,-1,expected,line,True,False,9.858626445567046,468,10.168486363917784,370
