GAME_ID,Date,HomeTeam,AwayTeam,HomeSpread_AtOpen,HomeSpread_AtClose,2H_HomeSpread,Over_AtClose,2H_Over,ht_home,ht_away,ht_margin,pregame_home_expected_margin,h2_home_expected_margin,ht_margin_surprise_vs_fullgame_half,second_half_margin_no_ot,second_half_margin_with_ot,sign_flip_close_to_h2
0020700654,2008-01-28 00:00:00,UTA,SAS,-1.5,-3.0,2.0,193.5,96.0,55.0,45.0,10.0,3.0,-2.0,8.5,-4.0,-4.0,True
0020700659,2008-01-29 00:00:00,MIA,BOS,7.0,4.0,-3.0,182.0,91.0,42.0,64.0,-22.0,-4.0,3.0,-20.0,-8.0,-8.0,True
0020700661,2008-01-29 00:00:00,HOU,GSW,-4.5,-2.5,3.0,206.0,101.0,60.0,46.0,14.0,2.5,-3.0,12.75,-10.0,-10.0,True
0020700666,2008-01-30 00:00:00,PHI,MIL,-6.5,-9.0,0.5,185.5,93.0,51.0,32.0,19.0,9.0,-0.5,14.5,24.0,24.0,True
0020700677,2008-01-31 00:00:00,SEA,CLE,4.5,-2.0,3.5,192.0,94.0,62.0,42.0,20.0,2.0,-3.5,19.0,-14.0,-14.0,True
0020700683,2008-02-01 00:00:00,MIA,NJN,4.5,3.0,-2.5,193.0,100.5,31.0,43.0,-12.0,-3.0,2.5,-10.5,3.0,3.0,True
0020700686,2008-02-01 00:00:00,GSW,CHA,-9.0,-8.5,0.5,220.0,105.5,69.0,48.0,21.0,8.5,-0.5,16.75,10.0,10.0,True
0020700688,2008-02-02 00:00:00,ATL,NJN,-5.5,-7.0,1.0,191.0,101.5,55.0,38.0,17.0,7.0,-1.0,13.5,-5.0,-5.0,True
0020700696,2008-02-03 00:00:00,WAS,LAL,5.0,3.0,-4.0,204.0,100.0,41.0,63.0,-22.0,-3.0,4.0,-20.5,10.0,10.0,True
0020700703,2008-02-04 00:00:00,UTA,NOH,-3.5,-2.0,2.5,203.0,98.5,50.0,39.0,11.0,2.0,-2.5,10.0,11.0,11.0,True
